Age,Experience_Years,Monthly_Salary_INR,Working_Hours_per_Week,Commute_Time_Hours,Remote_Work,Stress_Level,Sleep_Hours,Physical_Activity_Hours_per_Week,Mental_Health_Leave_Taken,Manager_Support_Level,Work_Pressure_Level,Annual_Leaves_Taken,Work_Life_Balance,Family_Support_Level,Job_Satisfaction,Performance_Rating,Team_Size,Training_Opportunities,Gender_Bias_Experienced,Discrimination_Experienced,Gender_Male,Gender_Non-Binary,Marital_Status_Married,Marital_Status_Single,Marital_Status_Widowed,Job_Role_Developer,Job_Role_HR,Job_Role_Manager,Job_Role_Sales,Job_Role_Support,Health_Issues_Mental,Health_Issues_Physical,Company_Size_Medium,Company_Size_Small,Department_Finance,Department_HR,Department_IT,Department_Marketing,Department_Sales,Burnout_Symptoms_Occasional,Burnout_Symptoms_Yes,Location_Tier-1,Location_Tier-2,Location_Tier-3
0.276595744680851,0.15000000000000002,0.9632530744342324,0.2545454545454545,0.7333333333333334,0,1.0,0.3599999999999999,0.17,0,0.4,0.5,0.1,0.7000000000000001,0.0,0.9,0.7000000000000001,0.07070707070707072,1,0,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False
0.0,0.55,0.500908712910057,0.32727272727272727,0.6233333333333333,1,0.0,0.6400000000000001,0.5700000000000001,0,0.8,0.2,0.43333333333333335,0.1,0.4,0.9,0.4,0.7777777777777779,1,1,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False
0.4893617021276595,0.9500000000000001,0.6043236422475722,0.618181818181818,0.18666666666666668,0,0.4,0.76,0.27,1,0.5,0.2,0.26666666666666666,0.30000000000000004,0.6000000000000001,0.9,0.30000000000000004,0.7373737373737375,1,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
0.10638297872340424,0.9750000000000001,0.10886537337122269,0.7999999999999999,0.9966666666666667,0,0.8,0.24,0.16000000000000003,0,0.2,0.8,0.9,0.30000000000000004,0.8,0.5,0.9,0.1717171717171717,0,1,0,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True
0.7659574468085105,0.8500000000000001,0.6301436228643637,0.5272727272727272,0.5766666666666667,1,0.6000000000000001,0.14,0.32000000000000006,1,0.8,0.8,0.5666666666666667,0.8,0.9,0.9,0.0,0.0,0,1,1,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False
0.9999999999999999,0.6000000000000001,0.9621381843653821,0.9454545454545454,0.5366666666666666,0,0.6000000000000001,0.44000000000000017,0.86,1,0.8,0.2,0.6666666666666666,0.8,0.4,0.1,0.0,0.9494949494949496,0,0,0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
0.276595744680851,0.35000000000000003,0.055322593083070234,0.7999999999999999,0.9266666666666665,1,0.0,0.9000000000000001,0.30000000000000004,1,0.5,0.5,0.5,0.5,0.0,0.2,0.2,0.7171717171717172,0,1,0,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False
0.702127659574468,0.30000000000000004,0.5795944393614697,0.8909090909090908,0.9199999999999999,0,0.2,0.26,0.6200000000000001,1,0.5,0.2,1.0,0.9,0.5,0.5,0.8,0.6464646464646465,1,1,1,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
0.9148936170212766,0.17500000000000002,0.37850381719425275,0.34545454545454546,0.09,1,0.2,0.14,0.29,0,0.7000000000000001,1.0,0.8,0.4,0.4,0.9,0.1,0.10101010101010102,1,1,0,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False
0.34042553191489355,0.35000000000000003,0.6573893982604893,0.1454545454545454,0.6733333333333333,1,0.9,0.76,0.16000000000000003,0,0.1,0.30000000000000004,0.36666666666666664,0.2,0.1,0.2,0.5,0.8181818181818183,1,1,1,False,True,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False
0.6595744680851064,0.05,0.36336610240832257,0.9454545454545454,0.11666666666666665,1,1.0,0.5800000000000001,0.7400000000000001,0,0.0,0.1,0.1,1.0,0.4,0.7000000000000001,0.2,0.9595959595959597,0,0,0,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
0.851063829787234,0.42500000000000004,0.5322399739897875,0.8363636363636363,0.7133333333333334,0,0.7000000000000001,0.6800000000000002,0.44000000000000006,0,0.7000000000000001,0.30000000000000004,0.9666666666666667,0.9,0.8,0.6000000000000001,0.5,0.43434343434343436,1,1,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0.08510638297872342,0.05,0.4968131711591545,0.4545454545454545,0.7066666666666667,0,0.2,0.5,0.12,1,0.2,0.5,0.2,1.0,0.8,1.0,0.2,0.3434343434343435,0,1,0,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True
0.723404255319149,0.275,0.51496131692035,0.6545454545454544,0.99,0,0.1,0.019999999999999907,0.81,1,0.4,0.9,0.9,0.30000000000000004,0.8,1.0,0.8,0.22222222222222224,0,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False
0.12765957446808507,0.025,0.8891331358862485,0.8181818181818182,0.3433333333333333,1,0.5,0.40000000000000013,0.61,1,0.5,0.30000000000000004,0.03333333333333333,1.0,1.0,0.1,0.2,0.18181818181818182,0,0,0,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False
0.12765957446808507,0.8,0.9027361059040561,0.21818181818181814,0.7799999999999999,1,0.8,0.6800000000000002,0.58,1,0.30000000000000004,0.4,0.13333333333333333,0.0,0.7000000000000001,0.1,0.1,0.33333333333333337,0,1,0,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
0.276595744680851,0.15000000000000002,0.342259472759836,0.018181818181818188,0.5466666666666666,0,0.30000000000000004,0.9600000000000002,0.68,1,0.30000000000000004,0.4,0.9333333333333333,0.2,1.0,1.0,0.7000000000000001,0.1414141414141414,0,0,1,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True
